step,type,amount,oldbalanceOrg,newbalanceOrig,amount_ratio,new_device,location_anomaly,velocity_5m,velocity_1h,account_age_days,fraud_incidents,hour_of_day,risky_network_links,isFraud
487,PAYMENT,21479.09,231832.75,210353.66,0.3,0,1,1,3,1827,0,7,0,0
585,PAYMENT,9332.87,130492.5,121159.63,1.45,0,0,1,2,1175,0,9,0,0
69,PAYMENT,1689.05,21288.91,19599.86,1.43,0,1,1,1,281,0,21,0,0
722,DEBIT,4946.5,37531.18,32584.68,0.19,1,0,0,2,1745,0,2,0,0
273,PAYMENT,8213.05,51326.55,43113.5,1.09,1,0,0,0,1753,0,9,0,0
354,PAYMENT,10985.08,139227.4,128242.32,1.57,0,0,0,3,2100,0,18,0,0
626,CASH_OUT,7279.37,77064.42,69785.05,0.39,1,0,1,0,2016,0,2,0,0
585,PAYMENT,19540.15,146139.4,126599.25,1.29,0,0,0,0,392,0,9,0,0
487,PAYMENT,14174.38,166314.86,152140.48,1.43,0,0,0,2,2011,0,7,0,0
226,TRANSFER,135833.87,130863.91,0.0,15.87,1,1,3,13,11,2,10,2,1
323,DEBIT,13970.1,167587.91,153617.81,1.5,0,0,0,3,884,0,11,0,0
125,TRANSFER,338943.74,333775.15,0.0,5.84,1,0,5,16,28,1,5,3,1
124,CASH_OUT,7607.65,75018.49,67410.84,0.86,1,0,0,0,926,0,4,0,0
715,PAYMENT,6720.16,97923.16,91203.0,1.74,0,0,1,3,1189,0,19,0,0
59,TRANSFER,22574.8,167850.19,145275.39,0.52,0,0,1,2,1421,0,11,0,0
132,TRANSFER,18014.63,128013.64,109999.01,1.42,1,0,1,0,1666,0,12,0,0
563,TRANSFER,66645.67,66485.48,0.0,8.28,1,1,6,9,32,1,11,4,1
127,PAYMENT,8737.06,81374.58,72637.52,0.15,0,0,1,1,1267,0,7,0,0
49,TRANSFER,12217.79,96775.0,84557.21,2.07,0,0,1,1,2042,0,1,0,0
199,PAYMENT,11028.9,15444.96,4416.06,1.84,0,0,1,2,453,0,7,0,0
235,TRANSFER,16838.78,84347.97,67509.19,1.48,0,0,1,3,883,0,19,0,0
81,PAYMENT,1031.57,9090.66,8059.09,0.88,0,0,1,1,2043,0,9,0,0
151,PAYMENT,7343.85,60655.02,53311.17,0.64,1,1,0,0,1388,0,7,0,0
34,PAYMENT,22302.76,256607.78,234305.02,1.97,1,0,1,0,1354,0,10,0,0
17,DEBIT,16575.37,104322.77,87747.4,0.3,0,0,0,1,132,0,17,0,0
697,TRANSFER,20794.71,67180.47,46385.76,0.48,0,0,1,2,2201,0,1,0,0
209,CASH_OUT,19457.38,284240.94,264783.56,1.15,0,0,1,0,534,0,17,0,0
171,TRANSFER,3133.63,25501.44,22367.81,1.56,0,1,1,1,595,0,3,0,0
19,DEBIT,18500.7,54053.55,35552.85,0.36,0,1,0,1,2436,0,19,0,0
224,PAYMENT,23895.02,121424.99,97529.97,2.04,0,0,0,2,1441,0,8,0,0
625,TRANSFER,3594.46,24894.11,21299.65,2.13,0,0,0,3,1877,0,1,0,0
598,DEBIT,544.14,1424.07,879.93,1.84,1,0,1,1,673,0,22,0,0
569,DEBIT,21706.7,205848.75,184142.05,0.97,0,0,1,1,390,0,17,0,0
485,CASH_OUT,6271.21,27528.15,21256.94,1.67,0,1,1,3,370,0,5,0,0
354,CASH_OUT,108469.3,122555.74,14086.44,8.0,0,1,8,19,108,0,18,1,1
212,PAYMENT,626.59,1171.72,545.13,0.47,0,1,0,1,1526,0,20,0,0
597,CASH_OUT,8017.98,65049.19,57031.21,1.94,1,1,1,0,1293,0,21,0,0
135,CASH_OUT,14323.69,98633.61,84309.92,0.2,0,0,0,3,1366,0,15,0,0
70,CASH_OUT,70784.75,82813.68,12028.93,4.94,0,0,7,18,43,2,22,2,1
596,DEBIT,19497.01,57911.49,38414.48,1.23,0,0,1,3,2161,0,20,0,0
583,CASH_OUT,16025.13,76982.16,60957.03,0.39,0,0,0,1,1557,0,7,0,0
173,PAYMENT,8254.64,52619.62,44364.98,1.54,0,0,0,3,2378,0,5,0,0
635,PAYMENT,8276.19,70699.71,62423.52,1.88,0,0,0,3,1436,0,11,0,0
396,TRANSFER,18398.84,72002.46,53603.62,1.56,0,0,1,3,434,0,12,0,0
473,TRANSFER,18170.32,41327.59,23157.27,2.07,0,0,1,3,523,0,17,0,0
596,PAYMENT,19898.36,283547.18,263648.82,0.63,1,0,1,0,346,0,20,0,0
125,TRANSFER,14167.27,128309.91,114142.64,1.08,0,0,1,3,2309,0,5,0,0
594,CASH_OUT,23287.78,64374.34,41086.56,0.35,0,0,0,1,1685,0,18,0,0
685,DEBIT,16813.66,96469.46,79655.8,1.99,1,1,1,1,2012,0,13,0,0
271,CASH_OUT,3779.81,53341.33,49561.52,1.02,0,0,0,0,1856,0,7,0,0
706,PAYMENT,19529.51,151612.21,132082.7,0.89,0,1,0,2,2134,0,10,0,0
707,TRANSFER,304829.55,258729.77,0.0,12.03,0,1,6,13,3,0,11,2,1
321,CASH_OUT,11517.85,83483.29,71965.44,0.73,0,1,1,3,1416,0,9,0,0
83,TRANSFER,7169.32,91285.97,84116.65,0.32,1,0,1,0,1704,0,11,0,0
464,TRANSFER,22436.13,33723.59,11287.46,0.61,0,0,1,3,2043,0,8,0,0
148,CASH_OUT,1000.45,1176.0,175.55,0.21,0,1,1,3,2027,0,4,0,0
214,PAYMENT,1525.08,18656.91,17131.83,2.05,0,1,1,2,2071,0,22,0,0
623,TRANSFER,99969.47,100150.65,181.18,14.31,1,1,6,8,153,1,23,1,1
40,TRANSFER,6841.89,75039.63,68197.74,2.16,0,0,1,0,287,0,16,0,0
458,TRANSFER,333831.31,290183.25,0.0,4.83,0,0,3,8,176,1,2,2,1
190,DEBIT,14353.09,44743.04,30389.95,2.09,0,0,0,2,1399,0,22,0,0
520,PAYMENT,3796.13,30999.59,27203.46,0.95,1,1,0,0,403,0,16,0,0
705,CASH_OUT,7687.14,54177.85,46490.71,1.38,0,0,1,1,485,0,9,0,0
304,PAYMENT,7994.32,12800.76,4806.44,0.98,0,0,0,0,656,0,16,0,0
261,PAYMENT,17579.85,177670.47,160090.62,1.47,0,0,0,3,935,0,21,0,0
409,PAYMENT,9080.37,74704.89,65624.52,1.65,0,0,1,0,2312,0,1,0,0
545,PAYMENT,20016.77,109509.04,89492.27,1.86,0,0,0,0,253,0,17,0,0
54,PAYMENT,7087.22,40711.88,33624.66,0.46,0,0,0,0,1887,0,6,0,0
325,CASH_OUT,392619.21,372558.19,0.0,5.73,1,1,6,9,91,1,13,3,1
713,PAYMENT,7842.94,83594.32,75751.38,1.58,1,1,0,3,1645,0,17,0,0
502,TRANSFER,260035.32,225060.71,0.0,5.91,1,0,8,19,172,1,22,1,1
624,DEBIT,11261.32,73837.78,62576.46,0.27,0,1,1,0,1152,0,0,0,0
683,TRANSFER,4605.07,63129.71,58524.64,0.19,0,0,0,1,582,0,11,0,0
365,DEBIT,2194.47,9846.54,7652.07,1.87,0,1,1,2,1664,0,5,0,0
591,DEBIT,1546.9,9584.37,8037.47,1.23,1,0,1,3,908,0,15,0,0
359,DEBIT,12669.31,174111.49,161442.18,1.33,1,0,1,1,930,0,23,0,0
631,PAYMENT,2713.99,18020.57,15306.58,2.03,0,0,0,0,140,0,7,0,0
252,CASH_OUT,23193.77,170012.23,146818.46,0.75,0,0,1,2,137,0,12,0,0
127,DEBIT,15880.87,234196.82,218315.95,1.4,1,0,1,3,1669,0,7,0,0
672,CASH_OUT,19571.93,257342.3,237770.37,0.34,1,0,1,3,1167,0,0,0,0
715,DEBIT,24248.4,358528.0,334279.6,0.71,1,0,1,2,1636,0,19,0,0
258,CASH_OUT,19455.84,153833.95,134378.11,2.17,0,1,0,1,2447,0,18,0,0
56,DEBIT,2212.0,19511.87,17299.87,1.78,0,1,0,3,687,0,8,0,0
28,PAYMENT,2821.13,29584.48,26763.35,1.6,0,0,1,0,2179,0,4,0,0
